CSV Report,2023_08_30_DNA_TRIS-HCl_85_Na.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),2
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),21.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,7
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,No,1.0,2.0,80.0,5.00
Stage 2,Yes,0.5,1.0,20.0,5.00
Stage 3,Yes,0.5,1.0,80.0,5.00
Stage 4,Yes,0.5,1.0,20.0,5.00
Stage 5,Yes,0.5,1.0,80.0,5.00
Stage 6,Yes,0.5,1.0,20.0,5.00
Stage 7,Yes,0.5,1.0,80.0,0.00

SAMPLES
Name,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,
,38,0.224147792477109,62,0.250244653079725,38,0.218014429600879,62,0.256886379189819,38,0.211696081219284,62,0.253580606455986,38,0.186937352418911,62,0.230685746876805,38,0.19096024627723,62,0.236073708152862,38,0.194704570741131,62,0.23335166963236,38,0.195175229772508,62,0.242433528204776,38,0.199780784288776,62,0.249409750563669,38,0.204861561988208,62,0.25480810797467,38,0.213446653370607,62,0.247197679196554,38,0.217999479293341,62,0.252123330070911,38,0.222636525725857,62,0.25631167407456,38,0.0237917564563347,62,0.0235242751195347,38,0.0235753033771843,62,0.0233909442297549,38,0.0234725292665025,62,0.0233215275591432,38,0.0037517524776544,62,0.00361349740212219,38,0.00369203253094834,62,0.00355680080327359,38,0.00365529395661898,62,0.00354182629596684,38,0.00503571609979099,62,0.00461333877474246,38,0.00487515672672145,62,0.00453950217272221,38,0.00476237482070603,62,0.00444860700188673,38,0.024249516428258,62,0.0240691097408586,38,0.0241155094974577,62,0.023981524204633,38,0.0240222875171176,62,0.0239014551397981
,37.5,0.221920215985443,62.5,0.250307213562502,37.5,0.216666481993576,62.5,0.256944863546529,37.5,0.210887599115894,62.5,0.253651994464252,37.5,0.186313123126286,62.5,0.23080069442335,37.5,0.19035843350886,62.5,0.236165685356441,37.5,0.194134063269838,62.5,0.234506186968989,37.5,0.194921117911385,62.5,0.242612231481886,37.5,0.199546601933431,62.5,0.249499557564726,37.5,0.204600460851989,62.5,0.254974442504658,37.5,0.213366852734015,62.5,0.249911516556496,37.5,0.217919690294794,62.5,0.254894822701508,37.5,0.22254971069594,62.5,0.259339005993001,37.5,0.0237839780038956,62.5,0.0235221845505295,37.5,0.0235761734116621,62.5,0.0233959338091263,37.5,0.0234717540098554,62.5,0.0233034905408149,37.5,0.00375341004280714,62.5,0.00361793848974841,37.5,0.00369052016972022,62.5,0.00356175250130861,37.5,0.00366356553469791,62.5,0.00353842575315236,37.5,0.00502620799857798,62.5,0.00461652699455122,37.5,0.00488880380921197,62.5,0.00453362148599118,37.5,0.00475148951297755,62.5,0.00443172777844819,37.5,0.0242435572889065,62.5,0.0240705974750008,37.5,0.0241157163884368,62.5,0.0239793396330876,37.5,0.0240292093799077,62.5,0.0238962874407996
,37,0.219842034976468,63,0.250383890150127,37,0.215353630747527,63,0.257006326546231,37,0.21014001983054,63,0.253707279060613,37,0.185756233010148,63,0.230922207550888,37,0.189794046520599,63,0.236291781889369,37,0.193580393573783,63,0.234521356443813,37,0.194686664113023,63,0.242788876564498,37,0.19931009519596,63,0.24957600875699,37,0.20437239223917,63,0.255136747349889,37,0.213286278683138,63,0.25219353914599,37,0.217830720576684,63,0.25727006604143,37,0.22246800698607,63,0.261973167184809,37,0.0237848088128832,63,0.0235198906417742,37,0.0235779325845427,63,0.0233913873254329,37,0.0234701058328383,63,0.0233076542057751,37,0.00375547063785135,63,0.00360925559136696,37,0.00367798379939064,63,0.00355136805911086,37,0.00366415566537592,63,0.00353401476382104,37,0.00503352632967449,63,0.00460324865010959,37,0.00489855608103702,63,0.00453768142358323,37,0.00475405624201864,63,0.00444010908883115,37,0.0242391779461449,63,0.0240696447400103,37,0.0241188949682873,63,0.0239880709123336,37,0.0240252545361213,63,0.0238993542198523
,36.5,0.217776603736724,63.5,0.250447692076171,36.5,0.214349082127938,63.5,0.25707510781148,36.5,0.209475479553839,63.5,0.253790107635416,36.5,0.185174018007185,63.5,0.231009366134516,36.5,0.189286374434116,63.5,0.2363944822468,36.5,0.193103764046722,63.5,0.234827699594319,36.5,0.194464782649236,63.5,0.242978172783899,36.5,0.199108319428987,63.5,0.249653288512427,36.5,0.204175947932559,63.5,0.255295088169627,36.5,0.213212507131972,63.5,0.254269453451201,36.5,0.217755044410247,63.5,0.259439674053301,36.5,0.22238624923867,63.5,0.26415838720845,36.5,0.0237894468032237,63.5,0.0235188609630583,36.5,0.0235773971150671,63.5,0.0233859934160099,36.5,0.0234810374904794,63.5,0.0233101498023802,36.5,0.00374998833147691,63.5,0.00360701280429387,36.5,0.00367048107459613,63.5,0.00355435951257268,36.5,0.00366222989660831,63.5,0.00353919635638297,36.5,0.00504148531065979,63.5,0.00461071397340399,36.5,0.00489603988813312,63.5,0.00453243634146422,36.5,0.00476065483634963,63.5,0.00444060210565871,36.5,0.0242539485978638,63.5,0.0240696201565122,36.5,0.0241177661751357,63.5,0.02398879028106,36.5,0.0240249354282756,63.5,0.0239032141662138
,36,0.215924727808612,64,0.250497130655057,36,0.213396419984369,64,0.257113197989477,36,0.208875932394846,64,0.253864423173037,36,0.184691504789597,64,0.231109428614236,36,0.188797912139664,64,0.236482004216778,36,0.192628524148833,64,0.236045363047455,36,0.194286039277427,64,0.243129950757372,36,0.198945355176288,64,0.24968316899104,36,0.203984886249073,64,0.255450750367936,36,0.213126501148184,64,0.256074911322076,36,0.217663901578977,64,0.261214818895453,36,0.222301072367936,64,0.266218290132966,36,0.0237975742788725,64,0.0235214836354188,36,0.0235842405682529,64,0.0233887835877817,36,0.0234764205963494,64,0.0233081263813893,36,0.00374725751851789,64,0.00360708218221174,36,0.00367461646471122,64,0.00356243034406433,36,0.00366018510276178,64,0.00354396753700419,36,0.0050475096266707,64,0.00461474818349424,36,0.00489953290127671,64,0.00452401625294842,36,0.00476630073207628,64,0.00443642096665957,36,0.0242560616150672,64,0.0240684669063953,36,0.0241152338175998,64,0.0239875072588742,36,0.0240268826296348,64,0.0239068021102301
,35.5,0.214196750837261,64.5,0.25055366473757,35.5,0.212578676777577,64.5,0.257168925284447,35.5,0.208324268702407,64.5,0.253928009706418,35.5,0.184250984348539,64.5,0.231199763938372,35.5,0.188370264147649,64.5,0.236557712113721,35.5,0.192148573398883,64.5,0.237359953081913,35.5,0.194122308011715,64.5,0.243276417130622,35.5,0.198772878900728,64.5,0.249727210763579,35.5,0.203826756317522,64.5,0.255540223488418,35.5,0.213073578690119,64.5,0.257528417802952,35.5,0.217590747277276,64.5,0.26273015633311,35.5,0.222220138867868,64.5,0.267878269707577,35.5,0.0237901413085444,64.5,0.0235134737597537,35.5,0.0235840367031598,64.5,0.0233817910200821,35.5,0.0234789367641763,64.5,0.0233107704420039,35.5,0.00374946387020107,64.5,0.00361585188288501,35.5,0.00367874845988645,64.5,0.00356705660011292,35.5,0.00365030949473044,64.5,0.00355334027162948,35.5,0.0050588882752532,64.5,0.00461258884453896,35.5,0.00490742058404269,64.5,0.00451911406160087,35.5,0.00478965874117258,64.5,0.00443662011863268,35.5,0.0242622892439457,64.5,0.0240725294639685,35.5,0.0241138412422256,64.5,0.0239850659104106,35.5,0.0240272651349189,64.5,0.0239051918971657
,35,0.212625977967936,65,0.250599681863238,35,0.211882577103238,65,0.257229493730574,35,0.207792819747791,65,0.254013353459707,35,0.18380467427288,65,0.23125697620009,35,0.187928936579431,65,0.236638488690573,35,0.191753357094027,65,0.238452143366658,35,0.194001479452394,65,0.24341905457261,35,0.198587092380912,65,0.249742743021503,35,0.203679587902047,65,0.255655685150265,35,0.212987140345407,65,0.258805177935012,35,0.217516120862546,65,0.264060295489931,35,0.222140521786033,65,0.269273399233246,35,0.0237834769594231,65,0.0235152728160799,35,0.0235731804303448,65,0.0233800346131756,35,0.0234767459319706,65,0.0233121442665919,35,0.00375544757509134,65,0.00362245472227445,35,0.00367624819687852,65,0.00356613766906188,35,0.00365385285331512,65,0.003553384646274,35,0.005073851564139,65,0.00460051136360947,35,0.0049091875919779,65,0.00451966674373384,35,0.00479700061334358,65,0.00443588753779181,35,0.0242568955688771,65,0.0240744868395384,35,0.0241167984547203,65,0.0239896074060164,35,0.0240312255763663,65,0.0239148757089533
,34.5,0.211168294506137,65.5,0.250676900571063,34.5,0.211242556247126,65.5,0.257309701328055,34.5,0.20729908297287,65.5,0.254083835332438,34.5,0.183400696208034,65.5,0.231316546851584,34.5,0.187542640874326,65.5,0.236732138278164,34.5,0.191332839782058,65.5,0.239220715641386,34.5,0.193841124904437,65.5,0.243512968954398,34.5,0.198436964410338,65.5,0.249772514760665,34.5,0.20350340253849,65.5,0.255744065994441,34.5,0.212925384209007,65.5,0.259759169928784,34.5,0.21742486522483,65.5,0.265078096205102,34.5,0.222065052997394,65.5,0.270419227329344,34.5,0.0237905735526829,65.5,0.0235250536183786,34.5,0.0235727447745037,65.5,0.0233751095923413,34.5,0.0234767013588395,65.5,0.0233102597581019,34.5,0.00376291794382351,65.5,0.00362056533365459,34.5,0.0036755879732943,65.5,0.00357779458882026,34.5,0.00365357871297776,65.5,0.00354619521526469,34.5,0.00507245788573603,65.5,0.00460803414058795,34.5,0.00490770102419098,65.5,0.00450884439380213,34.5,0.00478900834754363,65.5,0.00443260969913623,34.5,0.024256851901794,65.5,0.0240787008316247,34.5,0.024104699737312,65.5,0.0239875484109016,34.5,0.0240300589931552,65.5,0.0239106926814827
,34,0.209935067037875,66,0.250718705735817,34,0.210701890984117,66,0.257380089913392,34,0.206819966878404,66,0.254172540202602,34,0.183005481637059,66,0.231385412743081,34,0.187151498709792,66,0.236800103815068,34,0.190964123264794,66,0.239777622910779,34,0.193683603092308,66,0.243649741793892,34,0.198286014733411,66,0.249802825667586,34,0.203360361593762,66,0.255805291171009,34,0.212872145006562,66,0.260729142244591,34,0.217341981935153,66,0.265976208171478,34,0.221976450544464,66,0.271329938564113,34,0.0237911921441407,66,0.0235283412609823,34,0.0235773205132694,66,0.0233754225094701,34,0.0234755112621095,66,0.0233058540975305,34,0.00376878781180896,66,0.00362272647269606,34,0.00367072536117105,66,0.00357749680356705,34,0.00365300148733654,66,0.00355160597987516,34,0.00507565454881325,66,0.00460657077326984,34,0.00490207270728302,66,0.00452098358095582,34,0.00478254792041564,66,0.00442606585226413,34,0.0242606794237594,66,0.0240744534295496,34,0.024099421788694,66,0.0239878189987366,34,0.024020779656166,66,0.023916280483225
,33.5,0.208867775944022,66.5,0.25080413481669,33.5,0.210098506807514,66.5,0.254230545643353,33.5,0.206357204873662,66.5,0.254261764572464,33.5,0.182633157163704,66.5,0.231434200055271,33.5,0.186786627667965,66.5,0.236868045107291,33.5,0.190621606875556,66.5,0.239958901959327,33.5,0.193550584458409,66.5,0.243757451367708,33.5,0.198164930707443,66.5,0.249850074760605,33.5,0.203219476721443,66.5,0.255878820606255,33.5,0.212768087289339,66.5,0.261315694775422,33.5,0.21727827244278,66.5,0.266686420218385,33.5,0.221893620420682,66.5,0.272021257873047,33.5,0.0237880782180508,66.5,0.0235266344105433,33.5,0.0235848620632963,66.5,0.0233859225557878,33.5,0.0234700910543809,66.5,0.0233120024181086,33.5,0.00375682839381539,66.5,0.00362024198352537,33.5,0.00366709870770937,66.5,0.0035803815770414,33.5,0.00365307175843284,66.5,0.0035522262534506,33.5,0.00507532685723636,66.5,0.00462375819622171,33.5,0.00491330536567667,66.5,0.00452021166642159,33.5,0.0047888100775393,66.5,0.00442495469972833,33.5,0.0242526292393547,66.5,0.0240738952745072,33.5,0.024112343926514,66.5,0.0239823919248238,33.5,0.0240216362097677,66.5,0.0239222733678224
,33,0.2078526782023,67,0.250852324685834,33,0.209584186261992,67,0.25592622058738,33,0.205928325872623,67,0.25432275567572,33,0.182307024665984,67,0.231517085384745,33,0.18646888531925,67,0.236932057832268,33,0.190295612835873,67,0.239773645789028,33,0.193407599181143,67,0.243842960854819,33,0.198041978588023,67,0.249882327960496,33,0.203095811557247,67,0.25595549357698,33,0.212707987041627,67,0.261811182973399,33,0.217218125098317,67,0.267274469951016,33,0.221817673205463,67,0.272584389110629,33,0.0237841614006408,67,0.0235226511766313,33,0.0235820062573641,67,0.023399456180133,33,0.0234732474875618,67,0.0233195523192169,33,0.00374923144141072,67,0.00362538141842856,33,0.0036686698716441,67,0.00357853730580515,33,0.00364513413541503,67,0.00355139420380317,33,0.00506017270984618,67,0.00461439078970132,33,0.00491303121424926,67,0.0045168276858611,33,0.00479351370737592,67,0.00443344291821411,33,0.024243496205466,67,0.0240757165229455,33,0.0241161349621706,67,0.0239932706861374,33,0.0240234417728984,67,0.0239227402454747
,32.5,0.207022925224918,67.5,0.251151146234263,32.5,0.209103566029501,67.5,0.257233506236515,32.5,0.205503923253549,67.5,0.254397941752296,32.5,0.181977060981137,67.5,0.231572641193322,32.5,0.186156697995427,67.5,0.236983638695221,32.5,0.189984967901327,67.5,0.239480806894045,32.5,0.193276830489749,67.5,0.2439073858543,32.5,0.197941683135125,67.5,0.249904265164738,32.5,0.202982695439583,67.5,0.25603998291514,32.5,0.212651666727591,67.5,0.262223544418788,32.5,0.217130285997212,67.5,0.267747483152099,32.5,0.221745010454402,67.5,0.273035453714958,32.5,0.0237745006450853,67.5,0.0235388111590324,32.5,0.0235881158753186,67.5,0.0234087676523001,32.5,0.0234788844584118,67.5,0.0233103238024177,32.5,0.00375356129970264,67.5,0.00362024737970645,32.5,0.00366529202804793,67.5,0.00358537862236877,32.5,0.0036414840468234,67.5,0.00356067364175458,32.5,0.00505456844573665,67.5,0.0046006851361837,32.5,0.00493488623854627,67.5,0.00453750968352795,32.5,0.0047979673370523,67.5,0.00442762599981233,32.5,0.0242481783612137,67.5,0.0240746162009281,32.5,0.0241160160584681,67.5,0.0240055258749174,32.5,0.0240239480217455,67.5,0.0239194027912412
,32,0.206256243518968,68,0.251077954935151,32,0.208621083940404,68,0.257813132729686,32,0.205111910266076,68,0.254479608706817,32,0.181677828106289,68,0.231667519981321,32,0.185879031607109,68,0.237032999058832,32,0.189719047958554,68,0.239144805430064,32,0.193178774040324,68,0.243968476460697,32,0.197833549581011,68,0.24993740321539,32,0.202877758010547,68,0.256105649560905,32,0.212568551351936,68,0.262580529350521,32,0.217048689036662,68,0.268105592907125,32,0.221663106069861,68,0.27341713743072,32,0.0237593849043338,68,0.0235362714101479,32,0.0235803537113261,68,0.023400383453349,32,0.0234788786732161,68,0.0233113551849632,32,0.00375055115178471,68,0.00365097056522169,32,0.00366505972399405,68,0.00359223699902309,32,0.00364164411274829,68,0.00356388425828416,32,0.00505368428977399,68,0.00461004438606155,32,0.00493906507077699,68,0.00451804144932886,32,0.00480370130117646,68,0.00443148500163586,32,0.024238605813762,68,0.0240846607585588,32,0.0241137876330903,68,0.0240004333862422,32,0.0240232401313097,68,0.0239209831510363
,31.5,0.205585404689974,68.5,0.251088645892626,31.5,0.208148540952133,68.5,0.257377666622028,31.5,0.20473530255422,68.5,0.254586879700083,31.5,0.181418179039718,68.5,0.231771021843397,31.5,0.185617247709648,68.5,0.237090766487331,31.5,0.189461806950371,68.5,0.238794681009529,31.5,0.193081014459029,68.5,0.244019307350657,31.5,0.197711718473081,68.5,0.250012766779037,31.5,0.202790707828219,68.5,0.256166097266795,31.5,0.212491225281951,68.5,0.262870996494913,31.5,0.216970525456283,68.5,0.268386323114635,31.5,0.221582124241269,68.5,0.273725001575222,31.5,0.0237615179210847,68.5,0.0235451662638594,31.5,0.0235746588885508,68.5,0.0233935316499182,31.5,0.0234641562011593,68.5,0.0233239749521876,31.5,0.00374795851184794,68.5,0.00362966545768073,31.5,0.00366806065046634,68.5,0.00358967853097967,31.5,0.00363906239713838,68.5,0.00355897896762874,31.5,0.00505812464705559,68.5,0.00460209521897938,31.5,0.00492561871657713,68.5,0.00451125136405165,31.5,0.00480546719193913,68.5,0.00443147729066342,31.5,0.024250265150077,68.5,0.0240829536450134,31.5,0.0241063820766007,68.5,0.0240021286175953,31.5,0.0240175642049032,68.5,0.0239172131299297
,31,0.204978035795506,69,0.251257717329806,31,0.207720429976344,69,0.25663023986341,31,0.204374694218957,69,0.254766926071027,31,0.181153274992683,69,0.231799637563098,31,0.185373422500561,69,0.237150452381251,31,0.189210184663314,69,0.238474473487093,31,0.192958683784687,69,0.244064918071002,31,0.197608584805064,69,0.250094344864105,31,0.202687952240079,69,0.256224549683595,31,0.21244863302143,69,0.263071979800661,31,0.216888213162336,69,0.268631609635154,31,0.221504752143857,69,0.273970270402363,31,0.0237705109766345,69,0.0235449223723478,31,0.0235827294222908,69,0.023404460269147,31,0.0234532246541435,69,0.0233253866943358,31,0.00375573834217836,69,0.00362074284760702,31,0.00367223113573479,69,0.00358945217818008,31,0.00363467888095813,69,0.0035693455675549,31,0.00505568089728354,69,0.00459555394650161,31,0.00493624253716431,69,0.00451385159230718,31,0.00479977278728248,69,0.0044278350612893,31,0.0242464009451268,69,0.0240776621357419,31,0.0241114224305396,69,0.0239969978951589,31,0.0240074213916873,69,0.023931319232834
,30.5,0.204409102236908,69.5,0.251518721299391,30.5,0.207278874938624,69.5,0.255606537575446,30.5,0.204034453948274,69.5,0.25495236327866,30.5,0.180924997834165,69.5,0.231881911231085,30.5,0.185149451614277,69.5,0.237182065694921,30.5,0.188985619424921,69.5,0.238221688842284,30.5,0.192872979080805,69.5,0.244090501309297,30.5,0.19751430512489,69.5,0.250153731295636,30.5,0.202585780644086,69.5,0.25626795119648,30.5,0.212344035232423,69.5,0.263283936910094,30.5,0.216811039466331,69.5,0.268824431055532,30.5,0.221418326097239,69.5,0.27417179985834,30.5,0.0237618342365025,69.5,0.0235450541528078,30.5,0.0235816187642258,69.5,0.0234066471109973,30.5,0.0234550081134212,69.5,0.0233208679428683,30.5,0.00375936113781416,69.5,0.00363461098434335,30.5,0.00367002192018665,69.5,0.00359351460002127,30.5,0.00363797149788602,69.5,0.00357125074926756,30.5,0.00505928703401046,69.5,0.00460238684741635,30.5,0.00493357767357027,69.5,0.00450753464804267,30.5,0.00480176637536054,69.5,0.00442618107238068,30.5,0.024248748681021,69.5,0.0240886049986006,30.5,0.0241113833565582,69.5,0.023997608249847,30.5,0.0240115897845214,69.5,0.0239274933906537
,30,0.203898068699517,70,0.251794312447459,30,0.206886268748264,70,0.254147276284075,30,0.203704197615031,70,0.255182837782584,30,0.180711636523443,70,0.231964614933625,30,0.184941089093059,70,0.237227090485214,30,0.188786024212591,70,0.237906492422415,30,0.192765870365434,70,0.244122137228041,30,0.197432448151332,70,0.250320495293546,30,0.202492855875354,70,0.256321346569836,30,0.212276935529403,70,0.263454691104224,30,0.21673500259106,70,0.26900120138186,30,0.221332768422033,70,0.274346401001344,30,0.0237560309598079,70,0.0235378571332099,30,0.0235727337370903,70,0.0234308380224718,30,0.023453521443318,70,0.0233156939755387,30,0.00375020181022907,70,0.00363414044699166,30,0.00365997229553041,70,0.00359834304377973,30,0.0036365492241912,70,0.00356770479062619,30,0.00505434521485438,70,0.00459994519129674,30,0.00493155474524882,70,0.00452489872583082,30,0.00480353574822857,70,0.00440851884964484,30,0.0242518372129404,70,0.0240888051630506,30,0.0241092742643342,70,0.024010570983753,30,0.0240099816952127,70,0.0239201434064525
,29.5,0.203412728186701,70.5,0.252126133633386,29.5,0.206506880757123,70.5,0.252953263182236,29.5,0.203397599748121,70.5,0.255429413542144,29.5,0.180500519629522,70.5,0.232050027355546,29.5,0.184735449907621,70.5,0.237299899640225,29.5,0.188598116402771,70.5,0.237893183181118,29.5,0.192670039948472,70.5,0.244169718638941,29.5,0.197338072084478,70.5,0.250484240794024,29.5,0.202397701357594,70.5,0.256366790106356,29.5,0.212190811623725,70.5,0.263623324777218,29.5,0.21668353338042,70.5,0.269190625929918,29.5,0.221250097630476,70.5,0.274508265958355,29.5,0.0237665626575334,70.5,0.0235321121241542,29.5,0.0235694667709636,70.5,0.0234234584470904,29.5,0.02345305508416,70.5,0.0233190468513301,29.5,0.00374296248903856,70.5,0.00363554954201079,29.5,0.00365633296494678,70.5,0.00359676844189977,29.5,0.00364035617102643,70.5,0.00357789100953428,29.5,0.00505715547261137,70.5,0.00460055270041755,29.5,0.00493733335710125,70.5,0.00452318638998091,29.5,0.00480785660151593,70.5,0.00441541546347251,29.5,0.0242402556593828,70.5,0.0240852980945009,29.5,0.024110149366949,70.5,0.0240163473411947,29.5,0.0240117140733826,70.5,0.0239212589588064
,29,0.202959409977934,71,0.252457560152235,29,0.206164543307248,71,0.251874468497697,29,0.203123434746956,71,0.255659908286938,29,0.180299565599412,71,0.232114405730253,29,0.184560326224527,71,0.237348786150518,29,0.188429092424208,71,0.237720226374088,29,0.192608312548401,71,0.244195330268949,29,0.197248106530542,71,0.250673917779974,29,0.202304640784188,71,0.256423956452253,29,0.212133341605212,71,0.263763951014187,29,0.216593976222921,71,0.2693333777933,29,0.221171146779445,71,0.27464853569855,29,0.0237644566361176,71,0.0235305793009916,29,0.0235742031366568,71,0.0234159304014389,29,0.0234638648758047,71,0.0233297959842043,29,0.00374366242991133,71,0.00363868382447925,29,0.00365680016420715,71,0.00359043687052089,29,0.00364526818953712,71,0.0035778461739074,29,0.00506995550271522,71,0.00460068905259811,29,0.00493602464729085,71,0.00451440465873822,29,0.00481753923209396,71,0.00442708337615995,29,0.0242483138669202,71,0.0240884977856786,29,0.0241074341947302,71,0.0239965708069873,29,0.0240164132233087,71,0.0239308227437021
,28.5,0.202438920182292,71.5,0.252757602969688,28.5,0.205825698099107,71.5,0.250950637781805,28.5,0.202855631007744,71.5,0.255866898741752,28.5,0.18013944508167,71.5,0.232185708482531,28.5,0.184378421312356,71.5,0.237439951208011,28.5,0.188241933150487,71.5,0.237712478013836,28.5,0.192527763837886,71.5,0.244241279213783,28.5,0.197153405187461,71.5,0.250825409383059,28.5,0.202218171997928,71.5,0.256518946216909,28.5,0.212068675293434,71.5,0.263917815397726,28.5,0.216505700842321,71.5,0.269682131923543,28.5,0.221083800147946,71.5,0.274759446679342,28.5,0.0237523088802388,71.5,0.023524717854866,28.5,0.023572519347653,71.5,0.0234232062312691,28.5,0.023462101048653,71.5,0.0233312346366587,28.5,0.00373756649484598,71.5,0.00363415610003115,28.5,0.00365955276993188,71.5,0.00359268187560352,28.5,0.00363707819114944,71.5,0.00358250598777371,28.5,0.00507136107129073,71.5,0.00458613217850885,28.5,0.00493199547121076,71.5,0.00452671261356739,28.5,0.00481098889794774,71.5,0.00441251288795462,28.5,0.0242479144579013,71.5,0.0240849363149087,28.5,0.0241103982366481,71.5,0.0240079593953749,28.5,0.0240120694896112,71.5,0.0239237280415094
